brand,model_fromsales,year,model_id,brand_id,yb_id,ybm_id
NISSAN,VERSA,2007,313,28,286,1167
NISSAN,VERSA,2008,313,28,287,1384
NISSAN,VERSA,2011,313,28,290,1993
NISSAN,VERSA,2012,313,28,291,2173
NISSAN,VERSA,2013,313,28,292,2348
NISSAN,XTERRA,2002,314,28,281,145
NISSAN,XTERRA,2003,314,28,282,329
NISSAN,XTERRA,2004,314,28,283,532
NISSAN,XTERRA,2005,314,28,284,745
NISSAN,XTERRA,2006,314,28,285,955
NISSAN,XTERRA,2007,314,28,286,1168
NISSAN,XTERRA,2009,314,28,288,1595
NISSAN,XTERRA,2010,314,28,289,1808
NISSAN,XTERRA,2011,314,28,290,1994
NISSAN,XTERRA,2012,314,28,291,2174
NISSAN,XTERRA,2013,314,28,292,2349
OLDSMOBILE,ALERO,2002,315,29,293,146
OLDSMOBILE,ALERO,2003,315,29,294,330
OLDSMOBILE,ALERO,2004,315,29,295,533
OLDSMOBILE,AURORA,2003,316,29,294,331
OLDSMOBILE,BRAVADA,2002,317,29,293,147
OLDSMOBILE,BRAVADA,2003,317,29,294,332
OLDSMOBILE,BRAVADA,2004,317,29,295,534
OLDSMOBILE,INTRIGUE,2002,318,29,293,148
OLDSMOBILE,SILHOUETTE,2002,319,29,293,149
OLDSMOBILE,SILHOUETTE,2003,319,29,294,333
OLDSMOBILE,SILHOUETTE,2004,319,29,295,535
PONTIAC,AZTEK,2002,320,30,296,150
PONTIAC,AZTEK,2003,320,30,297,334
PONTIAC,AZTEK,2004,320,30,298,536
PONTIAC,AZTEK,2005,320,30,299,746
PONTIAC,BONNEVILLE,2002,321,30,296,151
PONTIAC,BONNEVILLE,2003,321,30,297,335
PONTIAC,BONNEVILLE,2004,321,30,298,537
PONTIAC,BONNEVILLE,2005,321,30,299,747
PONTIAC,FIREBIRD,2002,322,30,296,152
PONTIAC,G5,2007,323,30,301,1169
PONTIAC,G5,2008,323,30,302,1385
PONTIAC,G5,2009,323,30,303,1596
PONTIAC,G6,2008,324,30,302,1386
PONTIAC,G6,2009,324,30,303,1597
PONTIAC,G8,2008,325,30,302,1387
PONTIAC,G8,2009,325,30,303,1598
PONTIAC,GRAND AM,2002,326,30,296,153
PONTIAC,GRAND AM,2003,326,30,297,336
PONTIAC,GRAND AM,2004,326,30,298,538
PONTIAC,GRAND AM,2005,326,30,299,748
PONTIAC,GRAND PRIX,2002,327,30,296,154
PONTIAC,GRAND PRIX,2003,327,30,297,337
PONTIAC,GRAND PRIX,2004,327,30,298,539
PONTIAC,GRAND PRIX,2005,327,30,299,749
PONTIAC,GRAND PRIX,2006,327,30,300,956
PONTIAC,GRAND PRIX,2007,327,30,301,1170
PONTIAC,GRAND PRIX,2008,327,30,302,1388
PONTIAC,GTO,2004,328,30,298,540
PONTIAC,GTO,2005,328,30,299,750
PONTIAC,GTO,2006,328,30,300,957
PONTIAC,MONTANA,2002,329,30,296,155
PONTIAC,MONTANA,2003,329,30,297,338
PONTIAC,MONTANA,2004,329,30,298,541
PONTIAC,MONTANA,2005,329,30,299,751
PONTIAC,MONTANA SV6,2006,330,30,300,958
PONTIAC,SOLSTICE,2006,331,30,300,959
PONTIAC,SOLSTICE,2007,331,30,301,1171
PONTIAC,SOLSTICE,2008,331,30,302,1389
PONTIAC,SOLSTICE,2009,331,30,303,1599
PONTIAC,SUNFIRE,2002,332,30,296,156
PONTIAC,SUNFIRE,2003,332,30,297,339
PONTIAC,SUNFIRE,2004,332,30,298,542
PONTIAC,SUNFIRE,2005,332,30,299,752
PONTIAC,TORRENT,2006,333,30,300,960
PONTIAC,TORRENT,2007,333,30,301,1172
PONTIAC,TORRENT,2008,333,30,302,1390
PONTIAC,TORRENT,2009,333,30,303,1600
PONTIAC,VIBE,2003,334,30,297,340
PONTIAC,VIBE,2004,334,30,298,543
PONTIAC,VIBE,2005,334,30,299,753
PONTIAC,VIBE,2006,334,30,300,961
PONTIAC,VIBE,2007,334,30,301,1173
PONTIAC,VIBE,2008,334,30,302,1391
PONTIAC,VIBE,2009,334,30,303,1601
PORSCHE,911,2002,335,31,304,157
PORSCHE,911,2003,335,31,305,341
PORSCHE,911,2004,335,31,306,544
PORSCHE,911,2005,335,31,307,754
PORSCHE,911,2006,335,31,308,962
PORSCHE,911,2007,335,31,309,1174
PORSCHE,911,2008,335,31,310,1392
PORSCHE,911,2010,335,31,311,1809
PORSCHE,911,2011,335,31,312,1995
PORSCHE,911,2012,335,31,313,2175
PORSCHE,BOXSTER,2002,336,31,304,158
PORSCHE,BOXSTER,2003,336,31,305,342
PORSCHE,BOXSTER,2004,336,31,306,545
PORSCHE,BOXSTER,2005,336,31,307,755
PORSCHE,BOXSTER,2006,336,31,308,963
PORSCHE,BOXSTER,2007,336,31,309,1175
PORSCHE,BOXSTER,2008,336,31,310,1393
PORSCHE,BOXSTER,2010,336,31,311,1810
PORSCHE,BOXSTER,2013,336,31,314,2350
PORSCHE,CARRERA GT,2005,337,31,307,756
PORSCHE,CAYENNE,2004,338,31,306,546
PORSCHE,CAYENNE,2005,338,31,307,757
PORSCHE,CAYENNE,2008,338,31,310,1394
PORSCHE,CAYENNE,2010,338,31,311,1811
PORSCHE,CAYENNE,2011,338,31,312,1996
PORSCHE,CAYENNE,2012,338,31,313,2176
PORSCHE,CAYENNE,2013,338,31,314,2351
PORSCHE,CAYMAN,2006,339,31,308,964
PORSCHE,CAYMAN,2007,339,31,309,1176
PORSCHE,CAYMAN,2008,339,31,310,1395
PORSCHE,CAYMAN,2010,339,31,311,1812
PORSCHE,CAYMAN,2011,339,31,312,1997
PORSCHE,PANAMERA,2010,340,31,311,1813
PORSCHE,PANAMERA,2011,340,31,312,1998
PORSCHE,PANAMERA,2012,340,31,313,2177
PORSCHE,PANAMERA,2013,340,31,314,2352
RAM,DAKOTA,2002,341,32,315,159
RAM,DAKOTA,2003,341,32,316,343
RAM,DAKOTA,2004,341,32,317,547
RAM,DAKOTA,2005,341,32,318,758
RAM,DAKOTA,2006,341,32,319,965
RAM,DAKOTA,2007,341,32,320,1177
RAM,DAKOTA,2008,341,32,321,1396
RAM,DAKOTA,2009,341,32,322,1602
RAM,DAKOTA,2010,341,32,323,1814
RAM,DAKOTA,2011,341,32,324,1999
RAM,RAM PICKUP,2002,342,32,315,160
RAM,RAM PICKUP,2003,342,32,316,344
RAM,RAM PICKUP,2004,342,32,317,548
RAM,RAM PICKUP,2005,342,32,318,759
RAM,RAM PICKUP,2006,342,32,319,966
RAM,RAM PICKUP,2007,342,32,320,1178
RAM,RAM PICKUP,2008,342,32,321,1397
RAM,RAM PICKUP,2009,342,32,322,1603
RAM,RAM PICKUP,2010,342,32,323,1815
RAM,RAM PICKUP,2011,342,32,324,2000
RAM,RAM WAGON,2002,343,32,315,161
SAAB,9-2X,2005,344,33,327,760
SAAB,9-2X,2006,344,33,328,967
SAAB,9-3,2002,345,33,325,162
SAAB,9-3,2004,345,33,326,549
SAAB,9-3,2005,345,33,327,761
SAAB,9-3,2006,345,33,328,968
SAAB,9-3,2007,345,33,329,1179
SAAB,9-3,2008,345,33,330,1398
SAAB,9-3,2009,345,33,331,1604
SAAB,9-5,2002,346,33,325,163
SAAB,9-5,2004,346,33,326,550
