,detected_entity,year,model_id,brand_id,yb_id,ybm_id,org_id
83615,AUDI,,,2,,,247710
83616,BMW,,16,3,,,247710
83617,SAAB,,,33,,,247710
83618,AUDI,,14,2,,,247712
83619,IS300,,230,21,,,247712
83620,NISSAN,,306,28,,,247712
83621,PASSAT,,400,39,,,247712
83622,VOLVO,,412,40,,,247712
83623,MAXIMA,,306,28,,,247716
83624,SAAB,,,33,,,247716
83625,VOLVO,,413,40,,,247716
83626,SAAB,,,33,,,247717
83627,SAAB,,,33,,,247967
83628,SAAB,,,33,,,247968
83629,TRAILBLAZER,,78,6,,,247968
83630,SAAB,,,33,,,247977
83631,CADILLAC,,,5,,,247979
83632,SAAB,,,33,,,247979
83633,SAAB,,347,33,,,247980
83634,SAAB,,347,33,,,247981
83635,MERCEDES,,275,24,,,247991
83636,SAAB,,,33,,,247991
83637,ACURA,,1,1,,,247993
83638,MAZDA,,,23,,,247993
83639,MERCEDES,,278,24,,,247993
83640,PILOT,,156,12,,,247993
83641,SAAB,,,33,,,247993
83642,VOLVO,,412,40,,,247993
83643,SAAB,,,33,,,247997
83644,ENVOY,,137,11,,,247998
83645,LEXUS,,229,21,,,247999
83646,VOLVO,,412,40,,,247999
83647,SAAB,,,33,,,248020
83648,RIO,,205,19,,,248021
83649,SAAB,,,33,,,248023
83650,SAAB,,,33,,,248025
83651,SAAB,,,33,,,248027
83652,ENVOY,,137,11,,,248028
83653,SAAB,,347,33,,,248029
83654,AURORA,,316,29,,,248030
83655,ACURA,,3,1,,,248031
83656,ENVOY,,137,11,,,248031
83657,SAAB,,,33,,,248031
83658,X5,,22,3,,,248031
83659,XC90,,416,40,,,248031
83660,SAAB,,,33,,,248032
83661,TRAILBLAZER,,78,6,,,248032
83662,SAAB,,,33,,,248033
83663,SAAB,,,33,,,248034
83664,SAAB,,347,33,,,248035
83665,VOLVO,,416,40,,,248035
83666,X5,,22,3,,,248035
83667,BMW,,22,3,,,248037
83668,RX330,,236,21,,,248037
83669,ENVOY,,137,11,,,248038
83670,SAAB,,,33,,,248038
83671,X5,,22,3,,,248038
83672,ENVOY,,137,11,,,248051
83673,SAAB,,,33,,,248051
83674,ESCALADE,,46,5,,,248052
83675,SAAB,,,33,,,248052
83676,SAAB,,347,33,,,248053
83677,SAAB,,,33,,,248054
83678,SAAB,,347,33,,,248055
83679,BMW,,,3,,,248056
83680,MDX,,3,1,,,248056
83681,MERCEDES,,275,24,,,248056
83682,ROVER,,218,20,,,248056
83683,SAAB,,347,33,,,248056
83684,SAAB,,345,33,,,248057
83685,SAAB,,,33,,,248058
83686,BMW,,,3,,,248061
83687,MERCEDES,,275,24,,,248061
83688,ROVER,,217,20,,,248061
83689,SAAB,,347,33,,,248061
83690,VOLVO,,412,40,,,248061
83691,SAAB,,,33,,,248062
83692,SAAB,,,33,,,248063
83693,SAAB,,,33,,,248064
83694,TRAILBLAZER,,78,6,,,248065
83695,MAZDA3,,257,23,,,248480
83696,SATURN,,,34,,,248483
83697,COROLLA,,376,38,,,248484
83698,JETTA,,399,39,,,248484
83699,TORRENT,,333,30,,,248486
83700,FIT,,152,12,,,248488
83701,MAZDA,,253,23,,,248488
83702,RABBIT,,403,39,,,248488
83703,VUE,,349,34,,,248489
83704,VIBE,,334,30,,,248490
83705,MINI,,,26,,,248494
83706,VUE,,349,34,,,248495
83707,COBALT,,57,6,,,248498
83708,SATURN,,,34,,,248498
83709,VUE,,349,34,,,248499
83710,MAZDA3,,257,23,,,248500
83712,BMW,,16,3,,,248501
83713,CHRYSLER,,92,7,,,248501
83714,SATURN,,,34,,,248502
83715,ELANTRA,,163,14,,,248504
83716,SATURN,,,34,,,248504
83717,SATURN,,,34,,,248506
83718,SCION,,350,35,,,248507
83719,COOPER,,288,26,,,248508
83720,FORD,,120,10,,,248510
83721,HYUNDAI,,163,14,,,248510
83722,MAZDA3,,257,23,,,248510
83723,SATURN,,,34,,,248511
83724,COLORADO,,58,6,,,248512
83725,SATURN,,,34,,,248512
83726,SAAB,,,33,,,248513
83727,SATURN,,,34,,,248514
83728,TIBURON,,169,14,,,248514
83729,CTS,,40,5,,,248515
83730,BMW,,,3,,,248516
83731,MAZDA,,253,23,,,248516
83732,MERCEDES,,275,24,,,248516
83733,MINI,,,26,,,248517
83734,ACCENT,,161,14,,,248518
83735,NISSAN,,303,28,,,248518
83736,SATURN,,,34,,,248518
83737,TOYOTA,,,38,,,248518
83738,CIVIC,,147,12,,,248520
83739,FORD,,120,10,,,248522
83740,HONDA,,148,12,,,248524
83741,I,,290,27,,,248525
83742,SATURN,,,34,,,248526
83743,GOLF,,397,39,,,248529
83744,SATURN,,,34,,,248531
83745,SATURN,,349,34,,,248532
83746,TOYOTA,,384,38,,,248532
83747,VIBE,,334,30,,,248532
83748,SATURN,,,34,,,248534
83749,HONDA,,148,12,,,248535
83750,SATURN,,,34,,,248535
83751,TOYOTA,,384,38,,,248535
83752,MAZDA3,,257,23,,,248536
83753,VOLVO,,412,40,,,248537
83754,SATURN,2008,,34,333,,248539
83756,MAZDA,,253,23,,,248540
83757,SATURN,,,34,,,248540
83758,SATURN,,,34,,,248541
83759,VIBE,,334,30,,,248541
83760,FIT,,152,12,,,248544
83761,MAZDA3,,257,23,,,248544
83762,RABBIT,,403,39,,,248544
83763,FOCUS,,124,10,,,248545
83764,SIERRA,,141,11,,,248545
83765,TOYOTA,,384,38,,,248545
83766,VIBE,,334,30,,,248545
83767,SATURN,,,34,,,248549
83768,SATURN,,,34,,,248553
83769,SATURN,,,34,,,248556
83770,CAMRY,,374,38,,,248567
83771,FUSION,,127,10,,,248567
83772,MALIBU,,66,6,,,248567
83773,SATURN,,,34,,,248568
83774,SATURN,2009,,34,334,,248569
83775,MAZDA,,,23,,,248570
83776,SATURN,,,34,,,248570
83777,LINCOLN,,,22,,,248571
83778,SATURN,,,34,,,248571
83779,SATURN,,,34,,,248573
83780,ACURA,,8,1,,,248576
83781,SATURN,,,34,,,248577
83782,SATURN,,,34,,,248578
83783,ACURA,,,1,,,248580
83784,ALTIMA,,299,28,,,248580
83785,AUDI,,,2,,,248580
83786,CAMRY,,374,38,,,248580
83787,FUSION,,127,10,,,248580
83788,JETTA,,399,39,,,248580
83789,MALIBU,,66,6,,,248580
83790,AUDI,,14,2,,,248626
83792,SATURN,,,34,,,248628
83793,SATURN,,,34,,,248629
83794,FORD,,131,10,,,248631
83795,SATURN,,,34,,,248632
83796,ACURA,,,1,,,248633
83797,LEXUS,,,21,,,248633
83798,SATURN,,,34,,,248633
83799,A4,,12,2,,,248634
83800,LEXUS,,229,21,,,248634
83801,MERCEDES,,275,24,,,248634
83802,SAAB,,347,33,,,248634
83803,SATURN,,,34,,,248634
83804,ACURA,,8,1,,,248636
83805,SATURN,,,34,,,248637
83806,SONATA,,168,14,,,248637
